WikipediaID,WikidataID,PrequelID,SequelID
975900,Q261700,NaN,NaN
3196793,Q16250726,NaN,NaN
28463795,Q4978832,NaN,NaN
9363483,Q7995657,NaN,NaN
261236,Q869644,NaN,NaN
13696889,Q3067285,NaN,NaN
18998739,Q2712836,NaN,NaN
10408933,Q1619977,NaN,NaN
9997961,Q2712836,NaN,NaN
2345652,Q194106,NaN,NaN
175026,Q1579725,NaN,NaN
24229100,Q840296,Q1754737,NaN
6631279,Q6649585,NaN,NaN
171005,Q114115,NaN,NaN
18296435,Q12808250,NaN,NaN
11250635,Q7750838,NaN,NaN
30388930,Q4560603,NaN,NaN
77856,Q209170,NaN,Q24272881
32456683,Q1212293,NaN,NaN
33420460,Q6383159,NaN,NaN
175024,Q729807,NaN,NaN
612710,Q976048,NaN,NaN
21926710,Q7995659,NaN,NaN
33427105,Q1452676,NaN,NaN
31983669,Q1967124,NaN,NaN
17715326,Q3183844,NaN,NaN
22087420,Q3742607,NaN,NaN
20604092,Q2712836,NaN,NaN
21344842,Q6841195,NaN,NaN
156558,Q607122,NaN,NaN
11448183,Q4914022,NaN,NaN
9633533,Q7914357,NaN,NaN
31323091,Q1337262,NaN,NaN
27611999,Q7574544,NaN,NaN
31025505,Q2712836,NaN,NaN
29528534,Q4769893,NaN,NaN
1364293,Q2318140,NaN,NaN
29772142,Q6368890,NaN,NaN
26067101,Q2943754,NaN,NaN
26623942,Q6378965,NaN,NaN
9912533,Q5191841,NaN,NaN
9548445,Q4786598,NaN,Q4786598
32445576,Q7931407,NaN,NaN
26878691,Q7719877,NaN,NaN
10275424,Q3569754,NaN,NaN
2314463,Q5357294,NaN,NaN
2487170,Q7845571,NaN,NaN
25960460,Q1156971,NaN,NaN
13711159,Q7764700,NaN,NaN
261237,Q647665,NaN,Q647665
21153158,Q4880883,NaN,NaN
14631844,Q1516837,NaN,NaN
14301436,Q3747105,NaN,NaN
12008535,Q2382723,NaN,NaN
4951456,Q535500,NaN,NaN
36009421,Q6167286,NaN,NaN
13281430,Q6946116,NaN,NaN
11633165,Q6785706,NaN,NaN
21449578,Q1768770,NaN,NaN
23799443,Q2712836,NaN,NaN
5708633,Q3521141,NaN,NaN
12053509,Q1030728,NaN,NaN
7252019,Q5023006,NaN,NaN
3645672,Q531827,NaN,NaN
29198000,Q1061778,NaN,NaN
1369204,Q1710735,NaN,NaN
21235485,Q1459137,NaN,NaN
19494009,Q6421028,NaN,NaN
31323885,Q7557209,NaN,NaN
12371532,Q3206537,NaN,NaN
24399617,Q2319947,NaN,NaN
32104837,Q16254893,NaN,NaN
20334086,Q7933486,NaN,NaN
5915856,Q6098323,NaN,NaN
31137877,Q4931222,NaN,NaN
2647998,Q2534503,Q1764969,NaN
21958879,Q4009692,NaN,NaN
1254263,Q1520388,NaN,NaN
20944359,Q4686580,NaN,NaN
11353896,Q3423450,NaN,NaN
24761154,Q6945505,NaN,NaN
27374355,Q3233314,NaN,NaN
31304361,Q7768095,NaN,NaN
273431,Q1987819,NaN,NaN
16686643,Q7093204,NaN,NaN
7364373,Q587925,NaN,NaN
31026308,Q7559319,NaN,NaN
11996174,Q4661283,NaN,NaN
7028314,Q1218719,NaN,NaN
31156641,Q6965941,NaN,NaN
32224700,Q4659271,NaN,NaN
19929835,Q2712836,NaN,NaN
25413122,Q5309291,NaN,NaN
5664529,Q3561683,NaN,NaN
26776017,Q7333669,NaN,NaN
29832307,Q245205,NaN,NaN
24039457,Q6494619,NaN,NaN
31322464,Q8059264,NaN,NaN
5894429,Q1102541,NaN,NaN
12788657,Q659896,NaN,NaN
31153831,Q3575216,NaN,NaN
27556929,Q12112900,NaN,NaN
4300418,Q2411930,NaN,NaN
29766415,Q127177,NaN,NaN
30246289,Q226193,NaN,NaN
18109665,Q7757158,NaN,NaN
9390791,Q5740455,NaN,NaN
29375144,Q3225974,NaN,NaN
24196090,Q7776134,NaN,NaN
28028248,Q7740536,NaN,NaN
8669450,Q7093197,NaN,NaN
10419077,Q7278412,NaN,NaN
2154704,Q5104200,NaN,NaN
28301986,Q5275489,NaN,NaN
17780234,Q4853821,NaN,NaN
33059372,Q5113757,Q5113757,NaN
3740032,Q3024556,NaN,NaN
2659373,Q3426138,NaN,NaN
17683792,Q6844217,NaN,NaN
3873713,Q6513421,NaN,NaN
28415406,Q7746132,NaN,NaN
9380065,Q4726425,NaN,NaN
164387,Q426517,NaN,NaN
28937087,Q429965,NaN,NaN
24282217,Q492020,NaN,NaN
7443859,Q7733914,NaN,NaN
7767613,Q3496921,NaN,NaN
24863901,Q4596035,NaN,NaN
21373150,Q6844178,NaN,NaN
10792038,Q6956579,NaN,NaN
30002176,Q7755881,NaN,NaN
164388,Q1757216,NaN,NaN
22985953,Q2469801,NaN,NaN
31723287,Q5600164,NaN,NaN
7707787,Q621565,NaN,NaN
1630107,Q602236,Q602236,Q602236
7572051,Q696163,NaN,NaN
11717027,Q462595,NaN,NaN
22066590,Q3793112,NaN,NaN
10628777,Q7159057,NaN,NaN
3550323,Q1169589,NaN,NaN
1072373,Q1728088,NaN,Q1728088
1765938,Q510388,NaN,NaN
7460227,Q7720057,NaN,NaN
19095614,Q1170277,NaN,NaN
21878654,Q5643150,Q5643150,Q5643150
18902861,Q1325891,NaN,NaN
26615659,Q7654035,NaN,NaN
3222645,Q2712836,NaN,NaN
20204625,Q5593954,NaN,NaN
13613357,Q3113543,NaN,NaN
1305819,Q1022352,NaN,Q1022352
25790807,Q7562300,NaN,NaN
12438366,Q6809690,NaN,NaN
32229606,Q5524268,NaN,NaN
33495214,Q229557,Q230294,Q1354125
6752142,Q1110797,NaN,NaN
12142896,Q2712836,NaN,NaN
35847891,Q7995105,NaN,NaN
14494806,Q4655599,NaN,NaN
32972053,Q3645237,NaN,NaN
13021375,Q16252260,NaN,NaN
33514209,Q4185609,NaN,NaN
9169526,Q4690460,NaN,NaN
1031231,Q159808,NaN,NaN
9912537,Q13497077,NaN,NaN
27002888,Q956044,NaN,NaN
13602366,Q7763469,NaN,NaN
6342767,Q1488507,NaN,NaN
18524941,Q7068385,NaN,NaN
18066159,Q1083370,NaN,NaN
19031505,Q7736609,NaN,NaN
23666949,Q3211823,NaN,NaN
180917,Q1857747,NaN,NaN
6305925,Q751709,NaN,NaN
196176,Q1163628,NaN,NaN
34454683,Q375454,NaN,NaN
9944484,Q784812,NaN,NaN
26600932,Q7105114,NaN,NaN
33872851,Q7748095,NaN,NaN
34702021,Q5101201,NaN,NaN
3513305,Q7774021,NaN,NaN
2509881,Q1140559,Q739849,Q771537
19569910,Q1196541,NaN,NaN
12832450,Q5121271,NaN,NaN
13091003,Q3815053,NaN,NaN
4040882,Q7775930,NaN,NaN
28742538,Q12107758,NaN,NaN
12409066,Q6373971,NaN,NaN
30437887,Q7785447,NaN,NaN
26137128,Q1630263,NaN,NaN
23445121,Q5937384,NaN,NaN
15739559,Q7768796,NaN,NaN
32839744,Q2712836,NaN,NaN
34470083,Q476133,NaN,NaN
30658112,Q7762816,NaN,NaN
16304395,Q4126971,NaN,NaN
748616,Q494871,NaN,NaN
36151270,Q4692981,NaN,NaN
33956317,Q7721689,NaN,NaN
30693170,Q2712836,NaN,NaN
31505444,Q884677,NaN,NaN
336846,Q267721,NaN,Q267721
27463222,Q1213427,NaN,NaN
22256486,Q1547511,NaN,NaN
3179118,Q18421,NaN,NaN
3249964,Q303833,NaN,NaN
21906878,Q7159883,NaN,NaN
142911,Q7799108,NaN,NaN
15007384,Q2321699,NaN,NaN
31751930,Q5070661,NaN,NaN
23968563,Q7095943,NaN,NaN
11692389,Q7765030,NaN,NaN
31256008,Q7705465,NaN,NaN
2316181,Q5352405,NaN,NaN
6330031,Q4769346,NaN,NaN
8366514,Q2061328,NaN,NaN
3829646,Q2060452,NaN,NaN
29146560,Q2024236,NaN,NaN
3310726,Q2559974,NaN,NaN
20119316,Q487368,NaN,NaN
27874961,Q3212424,NaN,NaN
3033993,Q511879,NaN,NaN
